dataset,video_id,label,label_name,n_frames,path,first_frame,frame_hash,full_video_id,split
preprocessed_DFD01_16,01__exit_phone_room,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__exit_phone_room,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__exit_phone_room/0000.jpg,b5f7c2115c0207876dc922ef13135494,preprocessed_DFD01_16::01__exit_phone_room,train
preprocessed_DFD01_16,01__hugging_happy,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__hugging_happy,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__hugging_happy/0000.jpg,d14206a9632611c1ff98ef5dcc576fce,preprocessed_DFD01_16::01__hugging_happy,test
preprocessed_DFD01_16,01__kitchen_pan,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__kitchen_pan,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__kitchen_pan/0000.jpg,9b1f12e3cd341f49c4e831c31fd5faba,preprocessed_DFD01_16::01__kitchen_pan,train
preprocessed_DFD01_16,01__kitchen_still,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__kitchen_still,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__kitchen_still/0000.jpg,743ff5a1d07c8bfca7ddd8b648ecf7ca,preprocessed_DFD01_16::01__kitchen_still,train
preprocessed_DFD01_16,01__meeting_serious,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__meeting_serious,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__meeting_serious/0000.jpg,9262d1862b64d574c905fee78869acbc,preprocessed_DFD01_16::01__meeting_serious,val
preprocessed_DFD01_16,01__outside_talking_pan_laughing,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__outside_talking_pan_laughing,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__outside_talking_pan_laughing/0000.jpg,b2b8c65f2277ff2c40e2e6775a68433e,preprocessed_DFD01_16::01__outside_talking_pan_laughing,train
preprocessed_DFD01_16,01__outside_talking_still_laughing,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__outside_talking_still_laughing,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__outside_talking_still_laughing/0000.jpg,e3fdc7cb3a37e52a6df8d1f83a49ae6a,preprocessed_DFD01_16::01__outside_talking_still_laughing,train
preprocessed_DFD01_16,01__podium_speech_happy,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__podium_speech_happy,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__podium_speech_happy/0000.jpg,2b9e6e5ab84667a11676ba88d94a7a5d,preprocessed_DFD01_16::01__podium_speech_happy,train
preprocessed_DFD01_16,01__secret_conversation,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__secret_conversation,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__secret_conversation/0000.jpg,e9be240ca211df5aed73cc7c711f04c2,preprocessed_DFD01_16::01__secret_conversation,val
preprocessed_DFD01_16,01__talking_against_wall,0,real,16,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__talking_against_wall,/Users/alext/Desktop/MIFI 3/VKR_Final/Final_Project_deefake_detection/data/preprocessed_data/preprocessed_DFD01_16/real/01__talking_against_wall/0000.jpg,9e67a624484cc5c83389a8f11219de4a,preprocessed_DFD01_16::01__talking_against_wall,train
